Record ID,Website URL,isShopify,isActive,isPasswordProtected,Create Date,Number of Associated Contacts,City,Country/Region,Last Activity Date,Company owner,Company name
27891556147,ariathefox.com,true,true,false,2025-01-02 16:57,1.0,Hallstead,United States,2025-01-02 16:58,,Aria the Fox
27865544849,collectifvintage.com,true,true,false,2025-01-02 11:36,1.0,,,2025-01-02 11:37,,Collectif
27856947078,paulvowles.com,false,false,false,2025-01-02 11:36,1.0,,,2025-01-02 11:37,,paulvowles.com
27783633207,marrakechclothing.com,true,true,false,2024-12-30 11:12,2.0,New York,United States,2024-12-30 11:13,,Marrakech Clothing
27780697379,internationaldg.com,false,false,false,2024-12-30 11:12,1.0,New York,United States,2024-12-30 11:13,,International Direct Group
27702855710,inati.in,false,false,false,2024-12-27 17:19,1.0,,India,2024-12-27 17:20,,Inati
27693419307,withclarity.co.in,true,true,false,2024-12-27 11:25,1.0,,,2024-12-27 11:25,,
27692016974,renaissanceglobal.com,false,false,false,2024-12-27 11:25,1.0,New York,United States,2024-12-27 11:25,,Renaissance Global
27691927059,verigold.com,false,false,false,2024-12-27 11:25,1.0,,United States,2024-12-27 11:25,,Verigold Jewelry
27696046856,ultramilk.it,true,true,false,2024-12-27 11:11,1.0,,Italy,2024-12-27 11:12,,Ultramilk
27662454165,basicallykc.com,true,true,false,2024-12-26 11:42,1.0,,,2024-12-26 11:43,,Basically
27660318892,asphaltgold.com,true,true,false,2024-12-26 11:31,3.0,Darmstadt,Germany,2024-12-26 11:31,,Asphaltgold
27656767644,asphaltgold.de,true,true,false,2024-12-26 11:31,1.0,Darmstadt,Germany,2024-12-26 11:31,,asphaltgold
27659694409,blueskyclothingco.com,true,true,false,2024-12-26 11:18,3.0,North Vancouver,Canada,2024-12-26 11:18,,Blue Sky Clothing Co
27639710567,thecarousell.com,false,false,false,2024-12-26 11:12,1.0,,Singapore,2024-12-26 11:12,,Carousell
27597667693,metyis.com,false,false,false,2024-12-24 12:37,4.0,Amsterdam,Netherlands,2025-01-02 11:59,,Metyis
27601476534,gorillasports.ro,true,true,false,2024-12-24 11:25,1.0,,Romania,2025-01-02 11:39,,Gorilla Sports Ro
27519305988,361sport.com,true,true,false,2024-12-20 11:37,1.0,Xiamen,China,2024-12-27 11:11,,361 Degrees International
27478118418,pepejeansindia.com,false,false,false,2024-12-19 13:01,2.0,Noida,India,2025-01-02 11:59,,Pepe Jeans India
27456846191,kissprom.com,true,true,false,2024-12-19 11:05,2.0,Temecula,United States,2024-12-24 11:19,,KissProm
27400128615,librefabrics.com,true,true,false,2024-12-18 15:23,1.0,,,2024-12-18 15:23,,Libre fabrics
